a-bomb,bom nguyên tử
thermo-couple,(điện học) cặp nhiệt điện
thermochemical,(thuộc) nhiệt hoá học
thermochemistry,nhiệt hoá học
thermodynamic,nhiệt động (lực)
thermodynamics,nhiệt động lực học
thermoelectric,(thuộc) nhiệt điện
thermoelectricity,nhiệt điện
thermogene,sinh nhiệt
thermogenesis,sự sinh nhiệt
thermogenetic,sinh nhiệt
thermograph,máy ghi nhiệt
thermology,nhiệt học
thermomagnetic,(vật lý) nhiệt từ
thermomagnetism,(vật lý) hiện tượng nhiệt từ
thermometric,(thuộc) đo nhiệt
thermometrical,(thuộc) đo nhiệt
thermometry,phép đo nhiệt
thermonuclear,(thuộc) hạt nhân nóng
thermopile,(vật lý) pin nhiệt điện
thermoregulator,(vật lý) máy điều chỉnh nhiệt
thermoscope,cái nghiệm nhiệt
thermostat,máy điều nhiệt
thermostatics,nhiệt tĩnh học
thermotechnics,kỹ thuật nhiệt
thermotherapy,(y học) phép chữa (bệnh) bằng nhiệt
thermotropism,(thực vật học) tính hướng nhiệt
theroid,như cầm thú
thewless,không có bắp thịt; không có gân cốt
thewy,lực lưỡng
thick-headed,đần độn
thick-skinned,có da dày
thickening,sự dày đặc
thicket,bụi cây
thickhead,người đần độn
thievishness,tính hay trộm cắp
thigh-bone,xương đùi
thimble,cái đê (dùng để khâu tay)
thimblerig,trò bài tây
thimblerigging,trò bài tây
thin-faced,có nét mặt thanh
thin-skinned,có da mỏng
thinkable,có thể nghĩ ra được; có thể tưởng tượng được
thinker,người suy nghĩ
thiosulphate,(hoá học) thiosunfat
third-rater,người tồi; vật ít giá trị; loại kém
thirdly,ba là
thirtieth,thứ ba mươi | ngày ba mươi tháng mười một
thirty,số ba mươi
thistle,(thực vật học) cây kế (thuộc họ cúc)
thitherward,về phía đó
thitherwards,về phía đó
thong,dây da
thorite,(khoáng chất) torit
thorium,(hoá học) thori
thorn,gai
thorn-apple,quả táo gai
thornback,(động vật học) cá đuối
thorniness,tính có gai
thornless,không có gai
thoroughbred,thuần chủng (ngựa)
thoroughgoing,hoàn toàn; trọn vẹn
thoroughpaced,hay (ngựa)
thousandth,thứ một nghìn
thrasher,máy đập lúa
thrashing-floor,sân đập lúa
thrashing-machine,máy đập lúa
thread-cutter,máy ren (đinh ốc)
thread-mark,hình vẽ bóng (soi thấy được trên tờ giấy)
threadlike,nhỏ như sợi chỉ
threadworm,(động vật học) giun kim
thready,nhỏ như sợi chỉ
three-cornered,có ba góc
three-decker,tàu thuỷ ba boong
three-legged,có ba chân
three-master,(hàng hải) thuyền ba buồm
three-phase,(điện học) ba pha
three-piled,chồng ba cái một
three-quarter,ba phần tư (kiểu ảnh...)
threepence,ba xu (anh)
threescore,sáu mươi
threesome,nhóm ba người
threnode,bài điếu ca
threnody,bài điếu ca
thresh,đập (lúa); đập lúa
thresher,máy đập lúa; người đập lúa
threshing,sự đập (lúa)
threshing-floor,sân đập lúa
threshing-machine,máy đập lúa
thriller,câu chuyện cảm động
thrombosis,(y học) chứng nghẽn mạch
throstle,(động vật học) chim hét
throstle-frame,máy kéo chỉ ((cũng) throstle)
thrum,đầu sợi (còn sót lại ở khung cửi khi lấy vải ra)
thrummy,có nhiều đầu sợi thừa
thrush,(động vật học) chim hét
thumb-nail,móng ngón tay cái
thumb-stall,bao ngón tay cái
thumbscrew,(kỹ thuật) ốc tai hồng
thunderclap,tiếng sét
thundercloud,mây dông
thunderer,(the thunderer) thần sấm
thundershower,mưa rào có sấm sét
thunderstorm,bão tố có sấm sét
thunderstroke,tiếng sét đánh
thunderstruck,bị sét đánh
thurifer,người dâng hương (ở giáo đường)
thursday,ngày thứ năm (trong tuần lễ)
thwack,cú đánh mạnh; đòn đau
thwart,ngang (trái với dọc) | phá kế hoạch của địch
thyme,(thực vật học) cỏ xạ hương
tiara,mũ tiara (của vua ba tư; của giáo hoàng)
tibia,(giải phẫu) xương chày; (động vật học) dốt ống (sâu bọ)
tibiae,(giải phẫu) xương chày; (động vật học) dốt ống (sâu bọ)
tibial,(giải phẫu) (thuộc) xương chày
tibury,xe ngựa trần hai chỗ ngồi
tic,(y học) tật máy giật
tick-tack,tiếng tích tắc (của đồng hồ)
tick-tick,nhuấy nừa?
ticker,(thông tục) máy điện báo
ticking,tiếng tích tắc
tickler,người cù; cái lông để cù
ticklishness,tính hễ cứ đụng đến là cười
tide-power,năng lượng thuỷ triều
tide-race,sóng thần
tide-table,bảng tín hiệu chỉ thuỷ triều
tide-waiter,nhân viên thuế quan
tideless,không có thuỷ triều
tie-bar,thanh nối
tie-beam,rầm nối
tie-clip,cái kẹp ca vát
tie-up,(thương nghiệp) sự thoả thuận
tierce,thế kiếm thứ ba (mũi kiếm ngang con mắt)
tierced,chia làm ba
tiercel,chim ưng đực
tiercet,đoạn thơ ba câu
tiffin,(anh-ân) bữa ăn trưa
tiger-cat,(động vật học) mèo rừng
tight-lipped,mím chặt môi
tightener,(kỹ thuật) cái tăngxơ
tightrope,dây kéo căng (của người làm xiếc trên dây)
tike,con chó cà tàng (chó loại xấu)
tilde,dấu sóng (dùng thay từ lặp lại trong từ điển)
tiler,thợ làm ngói
tiling,sự lợp ngói
tillable,có thể trồng trọt cày cấy được (đất...)
tillage,việc cày cấy trồng trọt
tilt-hammer,(kỹ thuật) búa đòn ((cũng) tilt)
tilt-yard,(sử học) trường đấu thương
tilth,sự trồng trọt | bỏ hoá|- lớp đất trồng trọt
tilting,sự nghiêng đi
timbal,(âm nhạc) trống định âm
timber-man,thợ lâm trường
timber-yard,bãi gỗ
timbre,(âm nhạc) âm sắc
timbrel,(âm nhạc) trống prôvăng
time-bargain,hợp đồng bán hàng theo kỳ hạn
time-bomb,bom nổ chậm
time-book,sổ ghi giờ làm việc
time-card,sổ ghi giờ làm việc
time-cleck,người ghi giờ làm việc
time-clock,đồng hồ ghi giờ làm việc
time-expired,(quân sự) mãn hạn
time-limit,hạn thời gian nhất định (phải xong công việc gì...)
time-loan,món tiền vay phải trả vào một thời gian nhất định
time-tested,đã được thời gian thử thách
time-work,việc làm tính giờ
timekeeper,người ghi giờ làm việc
timeless,vô tận
timepiece,đồng hồ
timer,người bấm giờ
timothy,(thực vật học) cỏ đuôi mèo
timpani,(âm nhạc) trống lục lạc
timpanist,người đánh trống lục lạc
timpano,(âm nhạc) trống lục lạc
tin-bearing,có chứa thiếc
tin-kettle,ấm thiếc
tin-opener,đồ mở hộp
tin-plate,sắt tây
tin-whistle,ống tiêu; ống địch
tinctorial,(thuộc) thuốc nhuộm | cây cho thuốc nhuộm
tinder,bùi nhùi (để nhóm lửa); bông bùi nhùi (trong bật lửa)
tinder-box,hộp bật lửa
ting,tiếng leng keng
tinkler,người rung (chuông...)
tinkling,tiếng leng keng
tinned,tráng thiếc
tinner,công nhân mỏ thiếc
tinning,sự tráng thiếc
tinnitus,(y học) sự ù tai
tinsel,kim tuyến
tintinnabulation,tiếng kêu leng keng (chuông)
tintometer,(kỹ thuật) cái đo màu
tip-cart,xe ba gác lật ngược
tip-off,sự mách nước
tip-up,lật lên được (ghế ngồi ở rạp hát)
tipcat,trò chơi khăng
tippling,thói hay uống rượu
tipsiness,sự say rượu
tipstaff,gậy bịt đồng; dùi cui (cảnh sát)
tipster,người mách nước (trong cuộc đua ngựa)
tipsy-cake,bánh qui kem tẩm rượu
tiresomeness,tính chất làm cho mệt mỏi
tissue,vải mỏng | mô thần kinh
tissue-paper,giấy lụa ((cũng) tissue)
tit,(thông tục) (như) teat
titanesque,(thuộc) người khổng lồ
titanium,(hoá học) titan
tithable,phải đóng thuế thập phân
tither,người thu thuế thập phân
tithing,sự đánh thuế thập phân
titlark,(động vật học) chim sẻ đồng
title-deed,(pháp lý) chứng thư
title-page,(ngành in) trang trên sách
titleless,không có tên; không có nhan đề
titling,(động vật học) chim sẻ đồng ((cũng) titlark)
titmice,(động vật học) chim sẻ ngô
titmouse,(động vật học) chim sẻ ngô
titrate,chuẩn độ (dụng dịch); xác định tuổi (hợp kim vàng...)
titter,sự cười khúc khích
tittlebat,(động vật học) cá gai
titty,(thông tục) vú
titular,giữ chức
tmesis,(ngôn ngữ học) phép chêm từ
to-be,tương lai
to-come,tương lai
toad,con cóc
toad-eater,kẻ bợ đỡ
toad-eating,sự bợ đỡ
toad-in-the-hole,thịt bò tẩm bột rán; xúc xích tẩm bột rán
toadflax,(thực vật học) cây liễu ngư
toadstone,ngọc cóc
toadstool,nấm mũ độc
toast-master,người tuyên bố nâng cốc chúc rượu (ở bữa tiệc)
toaster,người nướng bánh
toasting,sự nướng
toasting-fork,cái nĩa để nướng bánh
toasting-iron,(đùa cợt) thanh kiếm ((cũng) toasting-fork)
tobacco,thuốc lá
tobacco-box,hộp đựng thuốc lá
tobacco-plant,(thực vật học) cây thuốc lá ((cũng) tobacco)
tobacco-pouch,túi đựng thuốc lá
tobacco-stopper,cái để nhồi thuốc (vào tẩu)
tobacconist,người bán thuốc lá
toboggan,xe trượt băng
tobogganer,người đi xe trượt băng
tobogganist,người đi xe trượt băng
toby,bình đựng bia hình con lật đật
toccata,(âm nhạc) khúc tôcat
tocher,(ê-cốt) của hồi môn
tocsin,chuông bao động
toddler,đứa bé đi chập chững
toddy,tôđi (rượu mạnh hoà đường và nước nóng)
toe-cap,mũi giày
toe-hold,chỗ để bám đầu ngón chân (khi trèo...)
toe-nail,móng chân
toewl-rail,giá xoay (bằng kim loại) để khăn tắm
toffee,kẹo bơ cứng | nó không biết hát tí nào
toffy,kẹo bơ cứng | nó không biết hát tí nào
toft,trại ấp
tog,((thường) số nhiều) quần áo
toga,áo dài (của người la mã xưa)
toggery,(từ lóng) quần áo
toggle-joint,(kỹ thuật) đòn khuỷu ((cũng) toggle)
toilet-paper,giấy vệ sinh
toilet-powder,phấn xoa sau khi rửa ráy
tokay,rượu tôkê (hung-ga-ri)
toke,(từ lóng) thức ăn
toll-bar,cái chắn đường để thu thuế
toll-gate,cửa thu thuế
toll-keeper,người thu thuế (ở cửa thu thuế)
tollhouse,phòng thuế
toluene,(hoá học) toluen
tom-cat,mèo đực
tomahawk,cái rìu (của người da đỏ)
toman,đồng tôman (tiền i-ran)
tomato,(thực vật học) cây cà chua | nước xốt cà chua
tomboy,cô gái tinh nghịch (như con trai)
tomenta,(thực vật học) lớp lông măng
tomentose,(thực vật học) có lông măng
tomentous,(thực vật học) có lông măng
tomentum,(thực vật học) lớp lông măng
tommy,(tommy) người lính anh ((cũng) tommy atkins)
tommy-bar,(kỹ thuật) tay gạt
tommy-gun,súng tiểu liên
tompion,nút miệng súng
tomtom,cái trống cơm
tonal,(âm nhạc) (thuộc) âm
tonality,(âm nhạc) giọng
tonga,(anh-ân) xe ngựa hai bánh
tongue-tie,(y học) tật líu lưỡi
tongue-tied,mắc tật líu lưỡi
tonic,(thuộc) âm; (âm nhạc) (thuộc) âm chủ
tonk,(từ lóng) đánh thắng dễ dàng (người nào)
tonnage,trọng tải (của tàu thuyền)
tonometer,(âm nhạc) thanh mẫu
tonsorial,(thuộc) thợ cắt tóc; (thuộc) nghề cắt tóc
tonsure,(tôn giáo) sự cạo đầu
tontine,lối chơi họ
tooler,thợ rập hình trang trí vào gáy sách
tooth-brush,bàn chải đánh răng
tooth-comb,lược bí
tooth-paste,thuốc đánh răng
tooth-powder,bột đánh răng
toothache,đau răng
toothed,có răng; khía răng cưa | bánh răng
toothful,(thông tục) hụm (rượu...)
toothing,(kỹ thuật) sự khớp răng
toothless,không có răng; sún
toothpick,tăm (xỉa răng)
top-boot,giày ống
top-dress,rải phân (lên mặt ruộng)
top-dressing,phân để rải lên mặt ruộng; sự rải phân lên mặt ruộng
top-heaviness,tính chất nặng đầu (đầu nặng đít nhẹ)
top-soil,(nông nghiệp) tầng đất mặt
topaz,(khoáng chất) topa
tope,(động vật học) cá mập xám
topee,mũ cát
toper,người nghiện rượu nặng
topgallant,(hàng hải) cột buồm ngọn; buồm ngọn
tophi,(y học) sạn urat
tophus,(y học) sạn urat
topi,mũ cát
topiary,the topiary art nghệ thuật sửa tạo hình (cây cảnh)
